tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/europeos-ya-no-quieren-mudarse-uk-inmigracion-comunitarios,3172892,27666376,159,15.0,--599848--,2019-08-24T00:05:34+00:00,0,10,"#15 Pero yo si.
Meneastapo a mi"
inmigracion,https://www.meneame.net/story/europeos-ya-no-quieren-mudarse-uk-inmigracion-comunitarios,3172892,27663738,158,45.0,insert_name_here,2019-08-23T15:10:04+00:00,0,9,"#45 No creo que haya más británicos en la UE que ciudadanos de la UE en el RU, pero en ese enlace que pones dice que en España hay 309.000 y eso no me lo creo. Hay mucho que está viviendo en España pero no computa como residente. Lo dicen hasta ellos mismos, que conocen gente que no está empadronada porque si lo hacen perderían alguna ayuda o parte de su jubilación o algo similar."
inmigracion,https://www.meneame.net/story/europeos-ya-no-quieren-mudarse-uk-inmigracion-comunitarios,3172892,27663715,157,22.0,insert_name_here,2019-08-23T15:06:37+00:00,0,9,"#22 Pero sube el número de emigrandes de fuera de la UE. Seguro que los inmigrantes de Nigeria, Pakistán y Bangladesh son gente super bien educada que van a sustituir a los polacos y húngaros."
inmigracion,https://www.meneame.net/story/europeos-ya-no-quieren-mudarse-uk-inmigracion-comunitarios,3172892,27663662,156,12.0,insert_name_here,2019-08-23T14:58:27+00:00,0,9,"#12 ¿Liberal en el sentido de usar la city para blanquear dinero de todo el mundo como forma principal de negocio? Ah, bueno, entonces sí."
inmigracion,https://www.meneame.net/story/europeos-ya-no-quieren-mudarse-uk-inmigracion-comunitarios,3172892,27661306,155,45.0,--14466--,2019-08-23T09:46:17+00:00,0,9,#45 Quizá incluye a pensionistas y jubilados. Ni idea.
inmigracion,https://www.meneame.net/story/europeos-ya-no-quieren-mudarse-uk-inmigracion-comunitarios,3172892,27660863,154,146.0,StuartMcNight,2019-08-23T08:40:55+00:00,0,12,"#146 No digas chorradas. Que te debes creer que somos imbeciles. A nadie le van a pinchar y poner un cateter sin ponerle la anestesia. Semejante bobada. Cuando se habla de la epidural en el contexto hospitalario y del parto nadie habla de la tecnica sin contar la anestesia. Ni la NHS hace eso. 

Y NO. La NHS no cobra ni por la tecnica ni por la anestesia. 

https://www.nhs.uk/conditions/epidural/"
inmigracion,https://www.meneame.net/story/europeos-ya-no-quieren-mudarse-uk-inmigracion-comunitarios,3172892,27660750,153,89.0,Die_Spinne,2019-08-23T08:25:49+00:00,1,4,#89 wanker !
inmigracion,https://www.meneame.net/story/europeos-ya-no-quieren-mudarse-uk-inmigracion-comunitarios,3172892,27660727,152,74.0,Die_Spinne,2019-08-23T08:22:43+00:00,0,10,"#74 y de verdad crees que es imprescindible ponerte la epidural para parir ? (y antes de que hables , soy mujer y si , he partido sin anestesia )"
inmigracion,https://www.meneame.net/story/europeos-ya-no-quieren-mudarse-uk-inmigracion-comunitarios,3172892,27659939,151,147.0,BRPBNRS,2019-08-23T05:42:42+00:00,1,17,#147 de hecho lo que queria decir es exactamente lo que has dicho tu en el 2° párrafo de tu comentario... Asique no has desperdiciado el positivo. {wink}
inmigracion,https://www.meneame.net/story/europeos-ya-no-quieren-mudarse-uk-inmigracion-comunitarios,3172892,27659302,150,,Forestalx,2019-08-22T22:28:27+00:00,0,10,"Van a cambiar franceses alemanes y españoles por paquistaníes, indios y bengalíes."
inmigracion,https://www.meneame.net/story/europeos-ya-no-quieren-mudarse-uk-inmigracion-comunitarios,3172892,27659264,149,136.0,--130475--,2019-08-22T22:20:00+00:00,0,6,"#136 yo no sé qué conocimiento tienes de la sociedad británica, pero en mi experiencia personal (que no es ni mucho menos un argumento incontestable), poco tienen que enseñar a los países del sur.

Ni sus parásitos son menos ni peores que los nuestros ni los que tiran del carro son más y mejores."
inmigracion,https://www.meneame.net/story/europeos-ya-no-quieren-mudarse-uk-inmigracion-comunitarios,3172892,27659249,148,101.0,Marky,2019-08-22T22:17:40+00:00,0,7,"#101 Gustar le puede gustar, yo he dicho que me parece raro que eso lo considere un éxito o un acierto...."
inmigracion,https://www.meneame.net/story/europeos-ya-no-quieren-mudarse-uk-inmigracion-comunitarios,3172892,27659241,147,37.0,Pérfido,2019-08-22T22:16:52+00:00,0,7,"#37 te he votado positivo sin querer.  No estoy seguro de entender bien lo que quieres decir, quizás porque me extraña demasiado. 
Conozco Albufeira y lo que más hay son ingleses,  luego franceses y después españoles. 

Yo no salgo de fiesta, por lo que en esos ambientes no puedo opinar de quién la lía más. Lo que sí sé es que ese pueblo está absolutamente corrompido por los ingleses borrachos,  con sus pubs, pantallas de fútbol 3x3 por las calles, sus clubes de putas anunciados a bombo y platillo y su alcohol a raudales. Y estoy hablando del centro del pueblo, no de las discotecas de las afueras.
Básicamente lo han destrozado hasta convertir una bonita villa en un estercolero.  Y con Lagos van por el mismo camino."
inmigracion,https://www.meneame.net/story/europeos-ya-no-quieren-mudarse-uk-inmigracion-comunitarios,3172892,27659129,146,82.0,Myon,2019-08-22T21:52:34+00:00,1,14,"#82 #121 La epidural es la tecnica, te pinchan y te dejan un catéter por el que va pasando la medicación que es un anestésico local (bupivacaina, ropivacaina generalmente) y eso, que es lo que evita que tengas dolor en el parto, te lo cobran como factura porque lo único que te cubre el NHS es la técnica epidural no la medicacion  {lol}"
inmigracion,https://www.meneame.net/story/europeos-ya-no-quieren-mudarse-uk-inmigracion-comunitarios,3172892,27659063,145,144.0,--330392--,2019-08-22T21:39:35+00:00,0,13,"#144 UK no es un paraíso fiscal sino que controla varios, que tampoco le generan tanto dinero como la gente cree. UK tiene más pasta, entre otras cosas, porque su gobierno garantiza una alta libertad de mercado, clave de la teoría liberal, y eso facilita la creación de empresas propias e instalación de extranjeras."
inmigracion,https://www.meneame.net/story/europeos-ya-no-quieren-mudarse-uk-inmigracion-comunitarios,3172892,27658992,144,12.0,disecain,2019-08-22T21:25:28+00:00,0,10,#12 decir que uk tiene dinero por ser liberal es como decir que un coche corre mas por llevar llamas de vinilo. UK tiene pasta por ser paraiso fiscal y por empezar el primero esta  carrera llamada capitalismo.
inmigracion,https://www.meneame.net/story/europeos-ya-no-quieren-mudarse-uk-inmigracion-comunitarios,3172892,27658311,143,120.0,--348464--,2019-08-22T19:26:39+00:00,0,7,#120 Hay un poco de obsesión con irse a Londres cuando en muchas ciudades pequeñas hay pleno empleo y los alquileres son razonables. Esto es la clave. Además de que la calidad de vida sube muchísimo fuera de Londres en mi humilde opinión.
inmigracion,https://www.meneame.net/story/europeos-ya-no-quieren-mudarse-uk-inmigracion-comunitarios,3172892,27658301,142,,--348464--,2019-08-22T19:25:22+00:00,0,7,"Valla, no me lo experaba."
inmigracion,https://www.meneame.net/story/europeos-ya-no-quieren-mudarse-uk-inmigracion-comunitarios,3172892,27658092,141,140.0,danifart,2019-08-22T18:58:04+00:00,0,6,"#140 casi, me escapo cada finde o cada 2. Es insoportable este país"
inmigracion,https://www.meneame.net/story/europeos-ya-no-quieren-mudarse-uk-inmigracion-comunitarios,3172892,27658058,140,139.0,--330392--,2019-08-22T18:51:40+00:00,0,13,#139 Y también estás en los dos países a la vez por lo que veo.
inmigracion,https://www.meneame.net/story/europeos-ya-no-quieren-mudarse-uk-inmigracion-comunitarios,3172892,27658054,139,62.0,danifart,2019-08-22T18:50:15+00:00,0,6,#62 es que SOY británico (no de nacimiento) tengo las 2.
inmigracion,https://www.meneame.net/story/europeos-ya-no-quieren-mudarse-uk-inmigracion-comunitarios,3172892,27657924,138,,--616273--,2019-08-22T18:27:05+00:00,0,8,¿Por que será? {shit}
inmigracion,https://www.meneame.net/story/europeos-ya-no-quieren-mudarse-uk-inmigracion-comunitarios,3172892,27657922,137,,--616273--,2019-08-22T18:26:53+00:00,0,8,edit
inmigracion,https://www.meneame.net/story/europeos-ya-no-quieren-mudarse-uk-inmigracion-comunitarios,3172892,27657899,136,129.0,Peazo_galgo,2019-08-22T18:23:52+00:00,0,11,"#129 pues Onvre, los gobiernos tecnocratas opusinos nos permitieron el mayor crecimiento de la OCDE de 1958 a 1975 sólo por detrás de Japón... Otra cosa es cómo se aprovecho eso y el ulterior empujón que nos dio la entrada posterior en la Unión europea en 1985 con la riada de millones que llegaron en forma de Fondos de cohesión y tal.... Yo creo que tiene más que ver con nuestra cultura e idiosincrasia latina que otra cosa pues ves vicios y costumbres similares en el sur de Italia y Grecia por ejemplo..."
inmigracion,https://www.meneame.net/story/europeos-ya-no-quieren-mudarse-uk-inmigracion-comunitarios,3172892,27657669,135,60.0,epiku,2019-08-22T17:46:12+00:00,0,6,"#60 ""50 y tantos o 60%"" significa, diría yo, que la cifra en cuestión está entre 51 y 60"
